Company name,Linkedin
276,Padaria Samara,https://www.linkedin.com/company/padaria-samara?trk=companies_directory
277,Padaria Santa Marta,https://www.linkedin.com/company/padaria-santa-marta?trk=companies_directory
278,Padaria Santa Rita,https://www.linkedin.com/company/padaria-santa-rita?trk=companies_directory
279,Padaria Santa Rosália,https://www.linkedin.com/company/padariasantarosalia?trk=companies_directory
280,Padaria Sao Domingos,https://www.linkedin.com/company/padaria-sao-domingos?trk=companies_directory
281,Padaria Sao Judas,https://www.linkedin.com/company/padaria-sao-judas?trk=companies_directory
282,Padaria Toscano,https://www.linkedin.com/company/padaria-toscano?trk=companies_directory
283,Padaria Trigopan,https://www.linkedin.com/company/padaria-trigopan?trk=companies_directory
284,Padaria Unipao,https://www.linkedin.com/company/padaria-unipao?trk=companies_directory
285,Padaria Vila Nova,https://www.linkedin.com/company/padaria-vila-nova?trk=companies_directory
